report_date,campaign_key,campaign_name,platform,campaign_group,funnel_stage,campaign_key_type,receita,orders,visits,investimento,impressions,clicks,roas,receita_safe_ad,receita_excecao_manual,receita_pmax_sem_anuncio,receita_por_nome_campanha,receita_outro,receita_anuncio_ambiguo,receita_nao_casado,investimento_anuncio,investimento_campanha,pct_receita_assertiva,pct_receita_anuncio_ambiguo,pct_receita_assertiva_alta,pct_investimento_anuncio,motivos_receita,motivos_investimento
2026-05-07,name|azul|rtb|vml_va_rtb-house_display_lf_aon_pass,VML_VA_RTB-HOUSE_DISPLAY_LF_AON_PASS,RTB,AON,Conversão,name,,,,2905.585999999998,453306,1125,,,,,,,,,0,2905.585999999998,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-rota-rota-nbrd_pass,BRV_VA_BING_SEARCH_LF_AON-ROTA-ROTA-NBRD_PASS,Bing Ads,AON-ROTA-ROTA-NBRD,Conversão,name,,,,0.75,138,1,,,,,,,,,0,0.75,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-marca-brd_pass,BRV_VA_BING_SEARCH_LF_AON-MARCA-BRD_PASS,Bing Ads,AON-MARCA-BRD,Conversão,name,,,,16857.98,30905,4714,,,,,,,,,0,16857.98,,,,0,,campanha
2026-05-07,name|azul|skyscanner|br | flights | inline | itinerary plus | sam (app),BR | FLIGHTS | INLINE | ITINERARY PLUS | SAM (APP),Skyscanner,INLINE,Conversão,name,,,,1496,177240,272,,,,,,,,,0,1496,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-concorrentes-nbrd_pass,BRV_VA_BING_SEARCH_LF_AON-CONCORRENTES-NBRD_PASS,Bing Ads,AON-CONCORRENTES-NBRD,Conversão,name,,,,2848.54,215247,1357,,,,,,,,,0,2848.54,,,,0,,campanha
2026-05-07,name|azul|kayak|azulhbo-web_fhboad_pt_br pt_br flight hbo,AZULHBO-WEB_FHBOAD_PT_BR PT_BR FLIGHT HBO,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,115,515517,23,,,,,,,,,0,115,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-eua-nbrd_pass,BRV_VA_BING_SEARCH_LF_AON-EUA-NBRD_PASS,Bing Ads,AON-EUA-NBRD,Conversão,name,,,,1851.62,3335,475,,,,,,,,,0,1851.62,,,,0,,campanha
2026-05-07,name|azul|kayak|azulafterclick_fac_pt_br pt_br flight afterclick,AZULAFTERCLICK_FAC_PT_BR PT_BR FLIGHT AFTERCLICK,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,3.1,57,1,,,,,,,,,0,3.1,,,,0,,campanha
2026-05-07,name|azul|vivo|brv_va_vivo_display_lf_data-dupla_pass,BRV_VA_VIVO_DISPLAY_LF_DATA-DUPLA_PASS,Vivo,DATA-DUPLA,Conversão,name,,,,0.1245405405405408,12,0,,,,,,,,,0,0.1245405405405408,,,,0,,campanha
2026-05-07,id|azul|google ads|23300326059,BRV_VA_GOOGLE_APP_MF_IOS_ENGAJAMENTO_PASS,Google Ads,IOS,Consideração,id,,,,2070.9900000000002,299925,1527,,,,,,,,,2070.9900000000002,0,,,,100,,anuncio
